latitude,longitude,altitude
-12.4433,130.91529,14.1
-12.44376,130.91588,13
-12.4438,130.91594,13
-12.44413,130.91633,12.7
-12.44431,130.91653,12.8
-12.44449,130.91671,13.1
-12.44479,130.91699,13.6
-12.44501,130.91715,13.6
-12.44539,130.91741,14.7
-12.44579,130.91765,16.1
-12.44657,130.91809,16.2
-12.44816,130.91908,17.1
-12.44845,130.9193,18
-12.44872,130.91956,19
-12.44875,130.9196,19.1
-12.44897,130.91984,19
-12.44921,130.92016,17.5
-12.44939,130.92048,16
-12.44957,130.92085,14.6
-12.44969,130.92114,13.7
-12.4498,130.92163,13.2
-12.44992,130.92229,13.2
-12.44993,130.92245,13.2
-12.44992,130.9225,13.2
-12.44992,130.92269,13.2
-12.4499,130.92283,13.3
-12.44991,130.92359,13.4
-12.4499,130.92381,13.5
-12.44994,130.92644,19.2
-12.44997,130.92682,20
-12.45005,130.92728,20
-12.4502,130.92793,20.7
-12.4521,130.93384,28.7
-12.45216,130.93401,28.7
-12.45266,130.93559,19.4
-12.45278,130.93594,18.2
-12.45317,130.93719,16.3
-12.45352,130.93821,14.5
-12.45391,130.93929,14.3
-12.45425,130.94016,16
-12.45474,130.94134,13.9
-12.45606,130.94431,13.1
-12.45617,130.9446,13.5
-12.4565,130.94535,13.5
-12.45681,130.94599,14.2
-12.45683,130.94606,14.3
-12.45689,130.94621,14.6
-12.45805,130.94884,16.9
-12.45812,130.94901,17.1
-12.4588,130.95048,18.4
-12.45922,130.9513,18
-12.45954,130.9518,17.7
-12.45979,130.95222,16.7
-12.46035,130.95306,15.7
-12.46069,130.95355,15.3
-12.46215,130.95585,17
-12.46253,130.95658,18.7
-12.4627,130.95694,18.7
-12.46315,130.95809,21
-12.46325,130.95839,22.1
-12.46345,130.95909,24.8
-12.46371,130.9601,28.8
-12.46396,130.96144,29.7
-12.46407,130.96228,30.9
-12.46413,130.96336,33.3
-12.46412,130.96397,36.1
-12.46406,130.9649,39.4
-12.46388,130.9667,37
-12.4638,130.96763,36.3
-12.46377,130.96826,35.1
-12.46376,130.96878,34.2
-12.46382,130.97031,29.9
-12.46386,130.97081,27.5
-12.46399,130.97192,26.1
-12.46427,130.97374,26.2
-12.46437,130.97425,26.7
-12.4645,130.97474,27.9
-12.46478,130.97559,30.7
-12.46501,130.97615,32.4
-12.46541,130.97695,33
-12.46632,130.97838,30.5
-12.46726,130.97978,31.6
-12.46739,130.98007,31.7
-12.46766,130.98047,32.3
-12.46851,130.98182,32.7
-12.46874,130.98222,32.8
-12.46903,130.98279,33.7
-12.46926,130.98331,34
-12.46946,130.98389,35.1
-12.46955,130.98423,35.8
-12.46972,130.98496,35.1
-12.46975,130.98506,35.2
-12.4706,130.98911,38.1
-12.47074,130.98971,39.9
-12.47085,130.9903,40.3
-12.47098,130.99087,39.5
-12.47107,130.99131,41.8
-12.47143,130.99266,42.6
-12.47161,130.99319,41.3
-12.47168,130.99336,41.1
-12.47181,130.99372,42.2
-12.47202,130.99423,43.5
-12.4725,130.99528,45
-12.47296,130.99605,46.6
-12.47334,130.99666,46
-12.47364,130.99708,45.8
-12.47365,130.99709,45.8
-12.47392,130.99745,46.2
